No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
28,2006,2008,23-Oct-08,US 2008/0257402 A1,"Michael Viktor Kamp, Thomas Rewig, Karl Heinz Diefenbach, Johannes Tibitanzl",,Solar Mounting/Rack,"12/090,358",10/23/2006,Solar Power System with a Number of Photovoltaic Modules,23-Oct-06,,,unknown,(Dusseldorf),,Germany,"The invention relates to a solar power system comprising a plurality of mounting supports (50), a plurality of photovoltaic modules (1) mounted on the mounting supports (50), a plurality of holding elements (60, 100) for holding the photovoltaic modules (1) on the mounting supports (50) and a plurality of electric connecting elements (60) for electrically interconnecting the photovoltaic modules, and wherein the electric connecting elements (60) comprise two electrically contacting connecting plugs (40-43, 70-74) which can be plugged together and which are designed such that they are plugged together with the mounting movement of the respective photovoltaic module when mounting it on a mounting support (50). According to the invention the photovoltaic modules (1) are each bordered at the edge at least in sections by a holding frame (10) made of a plastic, wherein mechanical connecting means (30) and at least one connecting plug (40-43, 70-74) are integrated in the holding frame (10) and wherein the mechanical connecting means (30) each interact with an associated holding element (60, 100) in a positive fitting manner.",Mounting system that enables multiple PC modules to be connected along with integrated wiring to reduce the labor of installation ,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=449&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] The present application claims the priorities of German patent applications DE 10 2005 050 884.7 ""Photovoltaic Module, Method for its Production and System comprising a Plurality of Photovoltaic Modules"", filed on 21 Oct. 2005, and DE 10 2005 050 883.9 ""Solar power system comprising a plurality of photovoltaic modules"", filed on 21 Oct. 2005, and their content is hereby expressly incorporated by reference into the present application.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2006,
45,2008,2009,15-Oct-09,US 2009/0255530 A1,Charles E. Gunter,"ABT, Inc.",Solar Mounting/Rack,"12/102,557",4/14/2008,APPARATUS FOR MOUNTING A SOLAR PANEL AND METHOD AND APPARATUS FOR FORMING THE MOUNTING APPARATUS ,14-Apr-08,Established,Privately owned,research,,,USA,"A support member for a solar panel is provided comprising a base member having first and second surfaces and first and second sides, the first surface defining a recess configured to receive the solar panel. The first side of the support member defines a first flange extending therefrom that is flush with the first surface of the base member and the second side of the support member defines a second flange extending therefrom that is flush with the second surface of the base member.",Mounting parts for solar arrays,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090255530%22.PGNR.&OS=DN/20090255530&RS=DN/20090255530,0,0,,,Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,
62,2008,2009,29-Oct-09,US 2009/0266352 A1,Robert Evans Wetmore,,Solar Mounting/Rack,"12/108,824",4/24/2008,PANEL AND PANEL MOUNT SYSTEM,24 Apr 08,Individual,,,"(Manhattan Beach, CA)",CA,USA,"A hinged panel mount and mounting system advantageously provides wind relief to panels that would otherwise provide an uplifting force that could damage or otherwise stress an underlying building or structure, wherein threshold winds (which at least overcome the weight of the panel and any friction in the hinge) cause the panel to swing in a path permitted by the hinge to reduce such uplifting forces.",Mount system designed to withstand weatehr and elememts,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090266352%22.PGNR.&OS=DN/20090266352&RS=DN/20090266352,0,0,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,
69,2008,2009,11 Nov 05,US 2009-0281820 A1,"Sarkar; Abhinanda; (Bangalore, IN) ; Gujjar; Vineel Chandrakanth; (Bangalore, IN) ; Anbarasu; Arungalai; (Bangalore, IN)",General Electric Company,Solar Monitoring,"12/118,807",705/63,METHOD AND SYSTEM TO QUANTIFY PERFORMANCE OF A POWER GENERATING SYSTEM ,11 May 04,established,publicly traded,,"Schenectady, NY",NY,USA,A method for quantifying performance of a power generating system is provided. The method includes empirically determining an actual relationship between input of an uncontrollable resource and power output of the power generating system. The method also includes determining a desired relationship between input of an uncontrollable resource and power output of the power generating system. The method further includes comparing the actual relationship to the desired relationship. The method also includes determining a plurality of financial parameters for the power generating system based on the comparison.,power monitoring to quantify system performance,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=830&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=17&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,
39,2008,2008,20-Nov-08,US 2008/0283118 A1,"Robert R. Rotzoll, Rajan N. Kapur","Larankelo, Inc.",Solar Inverter,"12/121,578",5/15/2008,PHOTOVOLTAIC AC INVERTER MOUNT AND INTERCONNECT,15-May-08,Start-up,Privately owned,unknown,"Colorado Springs, CO",CO,USA,"A replaceable photovoltaic inverter is mounted on each of a plurality of photovoltaic module for the conversion of direct current, produced by the photovoltaic cells, to alternating current. The inverter is coupled to a mounting bracket on the photovoltaic module such that is can be easily replaced. Replacement of an individual photovoltaic module inverter can occur during continuous operation of the photovoltaic module system with minimal impact on overall power production. The inverter is also mounted apart from the photovoltaic module to facilitate heat transfer generated by operation of the inverter.",Replaceable AC inverter directly attached to PV mounts' method for replacing inverters without interrupting power production,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=447&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic, (5 on application),,,"[0001] The present application relates to and claims the benefit of priority to U.S. Provisional Patent Application No. 60/938,663 filed May 17, 2007, which is hereby incorporated by reference in its entirety for all purposes as if fully set forth herein. The present application is further related to co-pending U.S. Patent Application Ser. No. LAR003 entitled, ""Photovoltaic Module-Mounted AC Inverter"" and U.S. Patent Application Ser. No. LAR002 entitled ""Distributed Inverter and Intelligent Gateway"", both of which are hereby incorporated by this reference in their entirety.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,
40,2008,2008,20-Nov-08,US 2008/0285317 A1,Robert R. Rotzoll,"Larankelo, Inc.",Solar Inverter,"12/121,580",5/15/2008,PHOTOVOLTAIC MODULE-MOUNTED AC INVERTER,15-May-08,Start-up,Privately owned,Renewable energy systems,"Colorado Springs, CO",CO,USA,"A photovoltaic module-mounted AC inverter circuit uses one or more integrated circuits, several power transistors configured as switches, several solid-dielectric capacitors for filtering and energy storage, several inductors for power conversion and ancillary components to support the above elements in operation. The integrated circuit includes all monitoring, control and communications circuitry needed to operate the inverter. The integrated circuit controls the activity of pulse-width modulated power handling transistors in both an input boost converter and a single-phase or multi-phase output buck converter. The integrated circuit also monitors all power processing voltages and currents of the inverter and can take appropriate action to limit power dissipation in the inverter, maximize the available power from the associated PV module and shut down the inverter output if the grid conditions so warrant. The integrated circuit implements power line communications by monitoring the AC wiring for signals and generating communications signals via the same pulse-width modulation system used to generate the AC power. Communications is used to report inverter and PV module status information, local identification code and to allow for remote control of inverter operation.",Inverter configured to attach directly to PV Mount,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=446&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,(4  on application),,,"[0001] The present application relates to and claims the benefit of priority to U.S. Provisional Patent Application No. 60/938,663 filed May 17, 2007, which is hereby incorporated by reference in its entirety for all purposes as if fully set forth herein. The present application is further related to co-pending U.S. Patent Application Ser. No. LAR004 entitled, ""Photovoltaic AC Inverter Mount and Interconnect"" and U.S. Patent Application Ser. No. LAR002 entitled ""Distributed Inverter and Intelligent Gateway"", both of which are hereby incorporated by this reference in their entirety.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,
38,2008,2008,27-Nov-08,US 2008/0291706 A1,"Eric Seymour, Jack Arthur Gilmore, Mike Armstrong","ADVANCED ENERGY INDUSTRIES, INC.",Solar Inverter,"12/122,950",5/19/2008,COMMON MODE FILTER SYSTEM AND METHOD FOR A SOLAR POWER INVERTER,19-May-08,Established ,Publicly Traded,,"Fort Collins, CO",CO,USA,"A photovoltaic system, method and apparatus are disclosed. In an exemplary embodiment, the system includes a photovoltaic array, a distribution system that distributes power within a premises of a demand-side energy consumer, an inverter coupled to the distribution system that is configured to convert DC power from the photovoltaic array to AC power and apply the AC power to the distribution system, a damping portion configured to damp high frequency voltages derived from the inverter, and trapping circuitry coupled to the damping portion that is configured to reduce a level of low frequency current traveling through the damping portion.",PV system with large-scale inverter designed to function independent of transformer in the inverter,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=443&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=9&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,7,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,
51,2008,2009,5-Feb-09,US 2009/0032086 A1,"Mikhail Kats, Scott Elman, Gary Hering",Emcore Corporation,Solar Mounting/Rack,"12/131,556",6/2/2008,TERRESTRIAL SOLAR ARRAY INCLUDING A RIGID SUPPORT FRAME,2-Jun-08,Established,Publicly Traded,petroleum products,"Albuquerque, NM",NM,USA,"A concentrator photovoltaic solar cell array system includes a central support mountable on a surface and a solar cell array including triple junction III-V semiconductor compound solar cell receivers and a support frame coupled to the solar cell array and carried by, and rotatable with respect to, the central support about an axis orthogonal to the central longitudinal axis. The support frame can include (i) a first frame assembly coupled to the solar cell array and (ii) a second frame assembly coupled to the first frame assembly arranged to increase the rigidity thereof. The system also has an actuator for rotating the central support and the support frame as well as pivoting the support frame so as to adjust its angle with respect to the earth's surface, so that the solar cell array is maintained substantially orthogonal to the rays from the sun as the sun traverses the sky.",Concentrated PV system includes mounting racks,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090032086%22.PGNR.&OS=DN/20090032086&RS=DN/20090032086,0,2,,"
[0001] This application is a continuation-in-part application of and claims priority to U.S. application Ser. No. 11/830,636, filed on Jul. 30, 2007, now U.S. Pat. No. 7,381,886, which is incorporated herein by reference. This application is related to co-pending U.S. application Ser. No. 12/024,489 filed Feb. 1, 2008, which is a divisional of U.S. application Ser. No. 11/830,636.  [0002] This application is also related to co-pending U.S. patent application Ser. Nos. 11/500,053 filed Aug. 7, 2006, and U.S. patent application Ser. No. 11/849,033 filed on Aug. 31, 2007 by the common assignee.
",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://investor.emcore.com/index.cfm,,FALSE,TRUE,FALSE,,,,2008,
27,2008,2008,11-Dec-08,US 2008/0302408 A1,"Peter Bressler, Seth Galewyrick, Edward Siahaan, Abby Nessa Feinstein, David Wachob, Martin Low, Jonathan D. Albert","SOLAR ROOFING SYSTEMS, INC.,",Solar Mounting/Rack,"12/134,040",6/5/2008,METHOD OF MANUFACTURING AN INTEGRATED SOLAR ROOFING TILE ,5-Jun-08,,,,Philadelphia. PA,PA,USA,"A method of manufacturing a photovoltaic roofing tile for installing on a roof surface and converting solar energy into electrical energy includes the steps of forming a generally flexible photovoltaic laminate, the laminate including a photovoltaic layer including plurality of electrically interconnected photovoltaic cells and a photovoltaic circuit electrically connecting the photovoltaic cells, inserting the laminate into a tile mold and injecting a molten thermoplastic material into the tile mold to form and fixedly attached a tile base to the laminate.",BIPV mounting in roof tiles,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080302408%22.PGNR.&OS=DN/20080302408&RS=DN/20080302408,0,0,,"[0001] This application claims the benefit of U.S. Provisional Patent Application No. 60/942,151 filed Jun. 5, 2007 entitled ""Solar Roofing Connector System"", U.S. Provisional Patent Application No. 60/942,112 filed Jun. 5, 2007 entitled ""Solar Roofing Tile Connection System"" and U.S. Provisional Patent Application No. 60/942,124 filed Jun. 5, 2007 entitled ""Solar Roofing Tile"".",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2008,
8,2008,2009,8 Jul 05,US 2009/0177458 A1 ,"Steven E.; Hochart, Ryan C. Miller, Nigel H. Nugent, Stephanie A. Stoppenhagen","CH2M Hill, Inc.",Site Assessment,"12/141,795 ",703/18; 707/999.01; 707/E17.032; 715/760 ,"Systems and Methods for Solar mapping, Determining a Usable Area for Solar Energy Production and/or Providing Solar Information",17 Jun 04,Established,Publicly Traded,,"Englewood, CO",CO,USA,"A method of determining usable area of a structure for solar energy production may include obtaining a three-dimensional model of a structure and obstructions associated therewith, and performing a shading analysis using the obtained three-dimensional model to obtain a usable area of the structure. A method of providing solar information for a structure using a Web portal may include providing an interactive map, receiving a user selection of a structure located on the interactive map, and providing solar information for the selected structure, wherein the solar information is based at least in part on a usable area obtained by performing a shading analysis using a three-dimensional model of the structure and obstructions associated therewith. A system for providing an interactive Web portal may include a database including solar information regarding a structure, and a server configured to access the database to retrieve the solar information and provide the Web portal. ",Method of mapping usable areas for solar installations,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220090177458%22.PGNR.&OS=DN/20090177458&RS=DN/20090177458,0,,,,Patent Search,"""Solar"" (claims) or ""Photovoltaic"" (Claims) AND ""Mapping"" (claims) or ""Estimation"" (claims) or ""Obstruction"" or ""Potential"" (claims) or ""Site"" or ""Terrain"" (claims) or ""Access"" (claims) or ""Azimuth"" (claims) or ""Survey"" (claims)",Utility,,,Yes,,,,,,,,TRUE,,,,
80,2008,2009,19-Nov-09,US 2009/0284074 A1,Ming-Hsiang Yeh,,Solar Inverter,"12/153,381",5/19/2008,Inverter,19-May-08,,,,"(Taipei City, TW)",,Taiwan,"An inverter includes at least two power sources and an uninterruptible power supply device. The at least two power sources include a mains outlet and fuel, solar energy, wind power, battery (fuel cell) based power generation devices. The uninterruptible power supply device includes a power source selector and a constant-current controller built therein. The uninterruptible power supply device has output terminals connectable to electrical appliances and input terminals connected to the at least two power sources via the power source selector and the constant-current controller. As such, the power source selector and the constant-current controller function to effect distribution and regulation of the at least two power sources for supply of constant current used by the electrical appliances and timed scheduling of the various power sources.",Inverter is connected to two or more different power sources and uninterruptable power supply device,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=383&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=8&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,,,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2008,
